restaurant_id,postal_code,restaurant_name,restaurant_address,dish_name,category,MAIN MUNICIPALITY
474252,2000,Flavours of India antwerp,Suikerrui 11,Palak paneer,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst),ANTWERPEN
474252,2000,Flavours of India antwerp,Suikerrui 11,Shahi paneer,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst),ANTWERPEN
474252,2000,Flavours of India antwerp,Suikerrui 11,Paneer do piyaza,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst),ANTWERPEN
474252,2000,Flavours of India antwerp,Suikerrui 11,Veg korma,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst),ANTWERPEN
474252,2000,Flavours of India antwerp,Suikerrui 11,Mix veg Curry,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst),ANTWERPEN
474252,2000,Flavours of India antwerp,Suikerrui 11,Channa Masala,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst),ANTWERPEN
474252,2000,Flavours of India antwerp,Suikerrui 11,Mushroom Bhajji,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst),ANTWERPEN
474252,2000,Flavours of India antwerp,Suikerrui 11,Veg jalfrezi,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst),ANTWERPEN
474252,2000,Flavours of India antwerp,Suikerrui 11,Bhindi Masala,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst),ANTWERPEN
474252,2000,Flavours of India antwerp,Suikerrui 11,Bhaingan bhartha,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst),ANTWERPEN
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Mozzarella pesto,Specialiteiten vegetarisch,ANTWERPEN
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Honey brie,Specialiteiten vegetarisch,ANTWERPEN
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Greck,Specialiteiten vegetarisch,ANTWERPEN
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Hummus,Specialiteiten vegetarisch,ANTWERPEN
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Vegetarische prepare,Specialiteiten vegetarisch,ANTWERPEN
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Vegetarische martino,Specialiteiten vegetarisch,ANTWERPEN
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Veggie speciaal,Specialiteiten vegetarisch,ANTWERPEN
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Oosters,Vegan broodjes,ANTWERPEN
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Greeny,Vegan broodjes,ANTWERPEN
442352,9000,Carrefour Express Ferrer,210 Francisco Ferrerlaan,Garden Gourmet Groenteballetjes 200 g,Vegan & vegetarisch,GENT
442352,9000,Carrefour Express Ferrer,210 Francisco Ferrerlaan,Vivera Vegan Nuggets 200 g,Vegan & vegetarisch,GENT
442352,9000,Carrefour Express Ferrer,210 Francisco Ferrerlaan,GARDEN GOURMET Vegetarische Groente Burger x2 170 g,Vegan & vegetarisch,GENT
442352,9000,Carrefour Express Ferrer,210 Francisco Ferrerlaan,Vivera Vegan Oosterse Schijf 200 g,Vegan & vegetarisch,GENT
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie,MECHELEN
