id,name,latitude,longitude,address,postal_code,NAME,MAIN MUNICIPALITY,MUNICIPALITY
72154,Sweet Lime,50.8292549,3.2616882,Kasteelkaai 4,8500,Kortrijk,KORTRIJK,KORTRIJK
72179,Chez Hakan,50.8686357,4.3122373,Avenue Charles quint 46,1083,Ganshoren,GANSHOREN,GANSHOREN
72209,Osteria,50.82742580000001,3.2669548,Grote Markt 27,8500,Kortrijk,KORTRIJK,KORTRIJK
72252,Pastabar the Bake Off,50.8814067,4.7097567,Diestsestraat 152 Leuven 3000,3000,Leuven,LEUVEN,LEUVEN
72828,Ode's,50.8278189,3.2688812,Grote Kring 3,8500,Kortrijk,KORTRIJK,KORTRIJK
73009,Poule & Poulette,51.05450930000001,3.721763499999999,Korenmarkt 11,9000,Gent,GENT,GENT
73421,Kanikama Sushi,51.20958539999999,3.2247869,Vlamingstraat 6,8000,Koolkerke,BRUGGE,BRUGGE
73421,Kanikama Sushi,51.20958539999999,3.2247869,Vlamingstraat 6,8000,Brugge,BRUGGE,BRUGGE
73473,The Olive Street Food - Mediterranean Greek,51.2075778,3.2260176,Wollestraat 12,8000,Koolkerke,BRUGGE,BRUGGE
73473,The Olive Street Food - Mediterranean Greek,51.2075778,3.2260176,Wollestraat 12,8000,Brugge,BRUGGE,BRUGGE
73585,Hello Sushi Kortrijk,50.82739213271311,3.269355297088623,Overbekeplein 8,8500,Kortrijk,KORTRIJK,KORTRIJK
73603,Bella Italia,51.210988,3.2243564,Vlamingstraat 68,8000,Koolkerke,BRUGGE,BRUGGE
73603,Bella Italia,51.210988,3.2243564,Vlamingstraat 68,8000,Brugge,BRUGGE,BRUGGE
73666,La Cucaracha,50.87820319999999,4.703680400000001,Tiensestraat 21,3000,Leuven,LEUVEN,LEUVEN
74082,Wok Express,51.0444069,3.7263331,sint-pietersnieuwstraat 212,9000,Gent,GENT,GENT
74185,Thai Oriental Palace,51.2045403,4.3958141,Balansstraat 4,2018,Antwerpen,ANTWERPEN,ANTWERPEN
74188,Frituur Den Boomgaard,51.2001977,4.428778299999999,De Fourneaustraat 54,2600,Berchem,ANTWERPEN,ANTWERPEN
74213,Chi-Chi's,51.2021046,3.2033727,Gistelse Steenweg 120,8200,Sint-Andries,BRUGGE,BRUGGE
74213,Chi-Chi's,51.2021046,3.2033727,Gistelse Steenweg 120,8200,Sint-Michiels,BRUGGE,BRUGGE
74285,WokAway,51.03632074136512,3.7101817131042476,Koningin Maria Hendrikaplein 1,9000,Gent,GENT,GENT
74455,Bohemian Burgers Brugge,51.20853409999999,3.222492,Sint Amandsstraat 22,8000,Koolkerke,BRUGGE,BRUGGE
74455,Bohemian Burgers Brugge,51.20853409999999,3.222492,Sint Amandsstraat 22,8000,Brugge,BRUGGE,BRUGGE
74528,Aelia-pizza Capitolina,50.8997778,4.6798142,Mechelsesteenweg 238,3020,Veltem-Beisem,HERENT,HERENT
74528,Aelia-pizza Capitolina,50.8997778,4.6798142,Mechelsesteenweg 238,3020,Winksele,HERENT,HERENT
74528,Aelia-pizza Capitolina,50.8997778,4.6798142,Mechelsesteenweg 238,3020,Herent,HERENT,HERENT
74584,Taj Mahal Antwerp,51.2183269,4.4188094,Statiestraat 15,2018,Antwerpen,ANTWERPEN,ANTWERPEN
74592,Barnini,51.2149533,4.4089493,Oudevaartplaats 10,2000,Antwerpen,ANTWERPEN,ANTWERPEN
74707,Frituur Rombout,51.0287006,4.480373,Frederik de Merodestraat 4,2800,Walem,MECHELEN,MECHELEN
74707,Frituur Rombout,51.0287006,4.480373,Frederik de Merodestraat 4,2800,Mechelen,MECHELEN,MECHELEN
