restaurant_name,restaurant_id,city,categories,veg_category_count
pizza-hut-delivery-asse,OR05N301,Asse,No Vegetarian Categories,1
le-lion-belge,03QR7Q5N,Diegem,No Vegetarian Categories,1
snack-arc-en-ciel-evere,0PR75O11,Diegem,No Vegetarian Categories,1
cheat-burgers,3P0P7Q7N,Diegem,No Vegetarian Categories,1
sushiline-bruxelles,3PQP7,Diegem,No Vegetarian Categories,1
la-boucherie-devere,3R33577N,Diegem,No Vegetarian Categories,1
pizza-hut-delivery-zaventem,511RQ7N,Diegem,No Vegetarian Categories,1
miros,5P0N113,Diegem,No Vegetarian Categories,1
orient-kitchen-evere,5Q5133N,Diegem,No Vegetarian Categories,1
margherita-pizza,NN3PN,Diegem,No Vegetarian Categories,1
turkish-kebap,NNRP1RO,Diegem,No Vegetarian Categories,1
paradise-of-india,NR7100N,Diegem,No Vegetarian Categories,1
casa-giordano,O0013QPN,Diegem,No Vegetarian Categories,1
snack-houwaert,O001N131,Diegem,No Vegetarian Categories,1
sushi-moon-evere-2,O03PR011,Diegem,No Vegetarian Categories,1
pizzeria-la-ora,O0703QPN,Diegem,No Vegetarian Categories,1
late-night-pizza,O10OQQPN,Diegem,No Vegetarian Categories,1
new-asia-schaerbeek,O113NN11,Diegem,No Vegetarian Categories,1
kefi-taverna,O13N3N7N,Diegem,No Vegetarian Categories,1
royale-pizza-louvain,O50P3RN1,Diegem,No Vegetarian Categories,1
mcdonalds-testlab,O535N7R1,Diegem,No Vegetarian Categories,1
quick-evere,O7N31QPN,Zaventem,No Vegetarian Categories,1
wok-masala,ON0Q017N,Diegem,No Vegetarian Categories,1
nouillequisaute-jinyuan,OO7NR0QN,Diegem,No Vegetarian Categories,1
new-delhi-traiteur,OO7Q7N5N,Diegem,No Vegetarian Categories,1
snack-antalya-zaventem,OPROORP,Diegem,No Vegetarian Categories,1
frituur-egzon,ORNRQN11,Diegem,No Vegetarian Categories,1
snack-tatayet,Q105QN3,Diegem,No Vegetarian Categories,1
dominos-pizza-evere,QO3N1,Haren,"Pizzas vegan,Vegan Pizza's",2
serenata-new,QPRQ07QN,Diegem,No Vegetarian Categories,1
taverne-jack,R17P7NQN,Diegem,No Vegetarian Categories,1
royal-city,353NRN7N,Ostend,No Vegetarian Categories,1
pho-sure,3N5N157N,Bredene-Bad,No Vegetarian Categories,1
apero-bouffe-lobsang,O15P117N,Bredene-Bad,No Vegetarian Categories,1
zia-maria-pizzeria,O53OOQPN,Bredene-Bad,No Vegetarian Categories,1
pizza-thats-it-oostende,ONR01RPN,Bredene-Bad,No Vegetarian Categories,1
yamas,OP33R701,Bredene-Bad,No Vegetarian Categories,1
olivier-willems-chocolatier-shop-petit-paris,R7P1P3QN,Bredene-Bad,No Vegetarian Categories,1
fast-and-fresh,RN1P35QN,Bredene-Bad,No Vegetarian Categories,1
brasserie-faro,RNOOP1QN,Bredene-Bad,No Vegetarian Categories,1
funky-friet-house-oostende,ROP5PNQN,Bredene-Bad,No Vegetarian Categories,1
dostendsche-baguette,RQN0N5QN,Bredene-Bad,No Vegetarian Categories,1
burger-king-westland-anderlecht,05513R5N,Itterbeek,No Vegetarian Categories,1
milano-pizza-pasta,35O5QN,Dilbeek,No Vegetarian Categories,1
pizza-pazzia-toto-anderlecht,3O3010QN,Dilbeek,No Vegetarian Categories,1
snack-derya,50QOPO3,Dilbeek,No Vegetarian Categories,1
otacos-anderlecht,O017R501,Drogenbos,No Vegetarian Categories,1
oroyal-burger,O371QON1,Groot-Bijgaarden,No Vegetarian Categories,1
asie-a-tik-anderlecht,ONQ01P7N,Dilbeek,No Vegetarian Categories,1
taiyaki-sushi-molenbeek-saint-jean,OOQP70QN,Groot-Bijgaarden,No Vegetarian Categories,1
o-16-art-bruxelles,OPQ5317N,Groot-Bijgaarden,No Vegetarian Categories,1
otacos-westland-antwerpen,ORONN1PN,Itterbeek,No Vegetarian Categories,1
wanted-mettewie,ROO1R5QN,Groot-Bijgaarden,No Vegetarian Categories,1
snack-ozmu-anderlecht,RRO7R3QN,Dilbeek,No Vegetarian Categories,1
pizza-pita-pala-9150,NPP3R7R,Bazel,No Vegetarian Categories,1
kaya-pitta,31PO0O7N,Mannekensvere,No Vegetarian Categories,1
de-wedergeboorte,O0QRN031,Nieuwpoort,No Vegetarian Categories,1
pizza-bella-pitta,O11O0RPN,Ostend,No Vegetarian Categories,1
trattoria-borsalino,P5Q3NN1,Ostend,No Vegetarian Categories,1
liberta,OR5Q30QN,Knokke-Heist,No Vegetarian Categories,1
lucy-chang-knokke,37071,Knokke-Heist,No Vegetarian Categories,1
pizza-number-1,05O11P5N,Knokke-Heist,No Vegetarian Categories,1
pizza-azzuro,307R0N,Knokke-Heist,No Vegetarian Categories,1
restaurant-cipriani,N153175,Knokke-Heist,No Vegetarian Categories,1
klein-amsterdam,N771Q05,Knokke-Heist,No Vegetarian Categories,1
the-foodaffair,NNNN3PO,Knokke-Heist,No Vegetarian Categories,1
kanpai-sushi-lounge,O0N7RRPN,Knokke-Heist,No Vegetarian Categories,1
mere-liban,O15PO17N,Knokke-Heist,No Vegetarian Categories,1
oliva-knokke-heist,O1NO73N1,Knokke-Heist,No Vegetarian Categories,1
pitta-number-1-knokke-2,ON7ONQN1,Knokke-Heist,No Vegetarian Categories,1
la-familia-da-aldo-knokke,OO3377PN,Knokke-Heist,No Vegetarian Categories,1
arigato-sushi-bar-knokke,OO7PR111,Knokke-Heist,No Vegetarian Categories,1
bar-celona,OP5703PN,Knokke-Heist,No Vegetarian Categories,1
nonna,ORQPR111,Heist,No Vegetarian Categories,1
amare-mio-ristorante-pizzeria-knokke,Q501N7QN,Knokke-Heist,No Vegetarian Categories,1
pizza-sam-heist,QOP3O7O,Knokke-Heist,No Vegetarian Categories,1
my-way,R315051,Knokke-Heist,No Vegetarian Categories,1
yum-smaak-knokke-heist,R70535QN,Knokke-Heist,No Vegetarian Categories,1
golden-buddha-home,RN5P7PQN,Knokke-Heist,No Vegetarian Categories,1
bella-italia-knokke,03N10N31,Knokke-Heist,No Vegetarian Categories,1
dominos-pizza-knokke,0770737N,Knokke-Heist,"Pizzas vegan,Vegan Pizza's",2
pitta-number-1-blankenberge,0OORQ131,Klemskerke,No Vegetarian Categories,1
pitta-corner-blankenberge-2,33OORO7N,Uitkerke,No Vegetarian Categories,1
didis-broodjes,35P300QN,Uitkerke,No Vegetarian Categories,1
snack-pitta-zem-zem,NN1P53Q,Uitkerke,No Vegetarian Categories,1
ptta-cem,NR1553Q,Uitkerke,No Vegetarian Categories,1
khaokaeng,O1171QPN,Uitkerke,No Vegetarian Categories,1
royal-punjab,ON5Q3NP,Knokke-Heist,No Vegetarian Categories,1
frituur-de-ster,OQO00O01,Knokke-Heist,No Vegetarian Categories,1
kohinoor-indian-restaurant,R10QPNQN,Knokke-Heist,No Vegetarian Categories,1
hattori-hanzo-sword-sushi,R71O71QN,Uitkerke,No Vegetarian Categories,1
martinos-blankenberge,RNP1NPQN,Uitkerke,No Vegetarian Categories,1
house-of-flavors,RQRQQNQN,Knokke-Heist,No Vegetarian Categories,1
