restaurant_id,postal_code,restaurant_name,restaurant_address,dish_name,category
474252,2000,Flavours of India antwerp,Suikerrui 11,Bhindi Masala,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst)
474252,2000,Flavours of India antwerp,Suikerrui 11,Bhaingan bhartha,VEGETARISCHE GERECHTEN  (Met keuze uit naan of rijst)
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Mozzarella pesto,Specialiteiten vegetarisch
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Honey brie,Specialiteiten vegetarisch
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Greck,Specialiteiten vegetarisch
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Hummus,Specialiteiten vegetarisch
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Vegetarische prepare,Specialiteiten vegetarisch
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Vegetarische martino,Specialiteiten vegetarisch
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Veggie speciaal,Specialiteiten vegetarisch
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Oosters,Vegan broodjes
477141,2000,Smoskot,2 Pieter van Hobokenstraat,Greeny,Vegan broodjes
442352,9000,Carrefour Express Ferrer,210 Francisco Ferrerlaan,Garden Gourmet Groenteballetjes 200 g,Vegan & vegetarisch
442352,9000,Carrefour Express Ferrer,210 Francisco Ferrerlaan,Vivera Vegan Nuggets 200 g,Vegan & vegetarisch
442352,9000,Carrefour Express Ferrer,210 Francisco Ferrerlaan,GARDEN GOURMET Vegetarische Groente Burger x2 170 g,Vegan & vegetarisch
442352,9000,Carrefour Express Ferrer,210 Francisco Ferrerlaan,Vivera Vegan Oosterse Schijf 200 g,Vegan & vegetarisch
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Pasta all'arrabiata 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Vol-au-veggie 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,TOM&DELLA's: Salade met mozzarella 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
314271,2800,Lunch Garden,Liersesteenweg 435,Samosa's met sweet chilisaus 🌿,💚 Veggie
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,Red Devils Veggie,Veggie
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,Red Devils Veggie McMenu®,Veggie
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,McVeggie,Veggie
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,McVeggie McMenu®,Veggie
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,Veggie Deluxe,Veggie
110376,2000,McDonald's Teniersplaats,Teniersplaats 4,Veggie Deluxe McMenu®,Veggie
295468,9300,McDonald's Aalst,Grote Markt 19,Red Devils Veggie,Veggie
295468,9300,McDonald's Aalst,Grote Markt 19,McVeggie,Veggie
295468,9300,McDonald's Aalst,Grote Markt 19,Veggie Deluxe,Veggie
36224,2018,Yu-Thai,Lamorinierestraat 111,Pad Thai Jay,Vegetarisch
36224,2018,Yu-Thai,Lamorinierestraat 111,Pad Pak Ruam Mit,Vegetarisch
36224,2018,Yu-Thai,Lamorinierestraat 111,Pad Prik King Jay,Vegetarisch
36224,2018,Yu-Thai,Lamorinierestraat 111,Pad Med Mamuang Jay,Vegetarisch
36224,2018,Yu-Thai,Lamorinierestraat 111,Pad Kra Praow Jay,Vegetarisch
36224,2018,Yu-Thai,Lamorinierestraat 111,Kaeng Phed Jay,Vegetarisch
36224,2018,Yu-Thai,Lamorinierestraat 111,Kaeng Kiew Wan Jay,Vegetarisch
36224,2018,Yu-Thai,Lamorinierestraat 111,Kaeng Pa Jay,Vegetarisch
378493,9000,Magnum and Ben & Jerry's Store ,4 Lange Violettestraat,Ben & Jerry's Non-Dairy Cookies on Cookie Dough,Ben & Jerry’s Vegan
227817,9000,Mu-Ji Sushi,Oudberg 54,Mango Futo Maki,Futo Maki Vegetarisch (6/12 Stukjes)
227817,9000,Mu-Ji Sushi,Oudberg 54,Sweet Potato Futo Maki,Futo Maki Vegetarisch (6/12 Stukjes)
227817,9000,Mu-Ji Sushi,Oudberg 54,Avocado Futo Maki,Futo Maki Vegetarisch (6/12 Stukjes)
423081,1140,Carrefour Market Paduwa,797 Chaussée de Louvain,Garden Gourmet Delux Burger Mini 180 g,Vegan & végétarien
423081,1140,Carrefour Market Paduwa,797 Chaussée de Louvain,"Carrefour Veggie Boulettes au Soja Tomate, Basilic x 12 Environ 200 g",Vegan & végétarien
423081,1140,Carrefour Market Paduwa,797 Chaussée de Louvain,GARDEN GOURMET Burger aux Légumes Végétarien x2 170 g,Vegan & végétarien
209243,3000,Taste of fresh,Tiensestraat 131,king oyster mushroom met zout en peper,vegegerechten
209243,3000,Taste of fresh,Tiensestraat 131,Gearomatiseerde aubergine,vegegerechten
209243,3000,Taste of fresh,Tiensestraat 131,pak choi met chinese paddestoel in look saus,vegegerechten
209243,3000,Taste of fresh,Tiensestraat 131,Tomaten roerei,vegegerechten
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Margherita,Pizza Vegetariana (L)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Margherita,Pizza Vegetariana (M)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Vegetale,Pizza Vegetariana (M)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Vegetale,Pizza Vegetariana (L)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Caprese,Pizza Vegetariana (L)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Caprese,Pizza Vegetariana (M)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Zucchini,Pizza Vegetariana (L)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Zucchini,Pizza Vegetariana (M)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Spinaci,Pizza Vegetariana (M)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,Spinaci,Pizza Vegetariana (L)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,4 Fromage,Pizza Vegetariana (M)
337144,1020,Red Chilli,150-152 Avenue Houba de Strooper,4 Fromage,Pizza Vegetariana (L)
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Palak paneer(spinazie met Indische kaas),Veggie gerechten
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Mix vegetables curry,Veggie gerechten
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Karahi paneer,Veggie gerechten
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Alo gobi,Veggie gerechten
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Chana massala,Veggie gerechten
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Namaste dal,Veggie gerechten
290606,9000,Namasté Indian Restaurant Gent,Groentenmarkt 18,Paneer matar,Veggie gerechten
290197,9000,Buns & Roses - Centrum,Oude schaapsmarkt 1,Knocking on heavens door,Veggie-Vegan burger
303788,9000,Dunkin,33 Langemunt,Vegan donut box 6,Vegan Donuts
